label	drawings	engraving	iconography	painting	sculpture	total
Fence	0	1	0	0	0	1
Log cabin	2	0	0	2	0	4
Ballet dancer	3	0	0	1	3	7
Crew	0	1	0	0	0	1
Wicker	0	0	0	0	1	1
Ink	1	6	0	0	0	7
Junk food	0	0	0	1	0	1
Tuxedo	0	0	0	7	0	7
Conifer	0	1	0	0	0	1
Altar	0	0	11	1	0	12
Fog	0	0	0	1	0	1
Airline	0	0	0	1	0	1
Sporting Group	3	1	1	1	3	9
Sailboat	0	5	0	8	0	13
Cobalt blue	0	0	0	0	1	1
Pedestal	0	0	0	0	3	3
White stork	0	1	0	0	0	1
Bengal tiger	0	0	0	0	1	1
Automotive tire	0	0	0	0	1	1
Floor	0	0	1	1	4	6
Pope	0	1	8	5	0	14
Forest	7	14	0	8	0	29
Windmill	1	1	0	0	0	2
Military person	0	0	0	1	0	1
Adaptation	19	27	2	7	19	74
Penteconter	0	1	0	0	0	1
Lighting	0	0	0	0	3	3
Western pleasure	1	0	0	0	0	1
Collection	4	6	90	4	5	109
Graphics	4	1	1	2	2	10
Organ	1	0	0	0	2	3
Computer accessory	0	0	1	1	0	2
Skeleton	0	0	0	0	13	13
Mane	5	0	0	0	5	10
Manila galleon	3	0	0	0	0	3
Cross-stitch	0	0	8	0	0	8
House	20	16	0	14	5	55
Highland	0	1	0	4	0	5
Carbonated soft drinks	1	0	0	0	0	1
Rope climbing	0	0	0	0	1	1
Dragon	0	0	0	0	6	6
Geological phenomenon	4	1	0	10	0	15
Art model	11	1	0	6	4	22
Pole	0	3	0	2	3	8
T-shirt	1	1	0	0	0	2
Longboard	1	0	0	0	0	1
Banknote	0	1	2	0	0	3
Felidae	4	5	0	0	27	36
Shield	1	0	0	0	0	1
Brown hair	1	0	0	2	1	4
Meal	3	0	0	0	0	3
White rhinoceros	0	0	0	0	2	2
Chambered nautilus	0	0	0	0	1	1
Reading	5	1	0	17	1	24
Electronic device	0	0	0	1	0	1
Atmospheric phenomenon	6	1	0	30	2	39
Playground slide	0	0	0	0	3	3
Lawn mower	0	0	0	0	1	1
Easel	2	0	1	0	0	3
World	3	3	0	1	18	25
Antique car	3	0	0	0	0	3
Carp	0	1	0	0	0	1
Songbird	1	0	0	0	0	1
Cash	0	0	10	0	0	10
Marsh	0	0	0	1	0	1
Basilica	4	2	3	2	0	11
Vertebrate	2	0	0	3	2	7
Physicist	1	2	0	0	0	3
Fiddle	0	0	0	1	1	2
Cart	5	2	0	3	1	11
Snails and slugs	0	0	0	0	1	1
Massif	0	1	0	0	0	1
Pottery	0	0	0	0	3	3
Claw	0	0	0	0	1	1
Fashion design	7	0	0	0	1	8
Fashion illustration	44	2	0	0	0	46
Triceratops	0	0	0	0	1	1
Musical ensemble	0	0	0	1	0	1
Tribe	1	0	0	0	0	1
Classic car	7	1	0	0	0	8
Cliff	4	6	0	10	0	20
Crochet	0	0	0	0	1	1
Hand	8	3	3	1	65	80
Chair	0	0	1	0	2	3
Saluki	0	0	0	1	0	1
Greyhound	1	0	0	0	0	1
Hand fan	1	0	0	2	0	3
Boat	22	29	0	31	0	82
Flooring	0	0	1	0	2	3
Hair	20	5	1	9	10	45
Tropical and subtropical coniferous forests	0	3	0	2	0	5
String instrument	1	0	0	2	1	4
Beaver	1	0	0	0	0	1
Plain	0	0	0	12	1	13
